category,question,answer
ارتباط با کاربران,در جواب پیشنهاد کتاب,"دوست عزیز، سلام. 
حتماً پیشنهادتون رو به همکارانمون منتقل می‌کنیم تا در صورت امکان کتاب موردنظرتون رو بتونید در طاقچه مطالعه کنید. برای اضافه شدن کتاب‌ها به طاقچه، باید با ناشر کتاب قرارداد داشته باشیم و ناشر، نسخهٔ دیجیتال کتاب رو در اختیار ما بذاره. 
 
در صورت پیگیری مجدد: 
دوست عزیز، سلام. 
متأسفانه ما اطلاعات دقیقی در مورد زمان انتشار کتاب‌ها در طاقچه نداریم. ما پیشنهادتون رو منتقل می‌کنیم و در صورت موافقت ناشر و انتشار کتاب شما می‌تونید در بخش تازه‌های فروشگاه، لیست کتاب‌های جدیدی که به طاقچه اضافه شدن رو مشاهده و بررسی کنید."
ارتباط با کاربران,پیام رسان های داخلی,"دوست عزیز، سلام.

طاقچه توی شبکه‌ها و پیام‌رسان‌های داخلی (روبیکا، ایتا، بله، آی‌گپ و سروش) با شناسهٔ taaghche_books کانال داره."
ارتباط با کاربران,مواردی که نیاز به ارجاع به فنی دارن,"دوست عزیز، سلام.

 به‌خاطر مشکل پیش‌اومده، متأسفیم. مسئله رو برای بررسی دقیق‌تر به تیم فنی منتقل کردیم. به‌محض اعلام نتیجه، اون رو حتماً به اطلاعتون می‌رسونیم."
ارتباط با کاربران,در پاسخ کاربرانی که به نسبت به تصویر جلد کتاب ها بازخورد میدن,"دوست گرامی، سلام.

ممنونیم که ما رو با دغدغه دنبال می‌کنید و باهامون در ارتباطید.
دغدغهٔ شما رو درک می‌کنیم، ولی طاقچه نقشی در تغییر و ممیزی محتوای کتاب‌ها نداره، چون یک پلتفرم دیجیتاله و کتاب‌ها رو فقط توزیع می‌کنه، بنابراین موظفه محتوا رو همون‌طور که از ناشر تحویل می‌گیره، بدون دخل و تصرف منتشر کنه. به‌علاوه، طاقچه فقط کتاب‌هایی رو از ناشر تحویل می‌گیره که مجوزهای لازم رو از وزارت فرهنگ و ارشاد اسلامی گرفته‌ باشن.
خوشحالیم دوستان دغدغه‌مندی مثل شما داریم که با بازخورداشون کمک می‌کنن طاقچهٔ بهتری بسازیم.

اگر دوباره پیام دادند:

درود و سپاس دوباره، دوست عزیز.

خوشحالیم که نظرتون رو در پاسخ به پیام قبلی باهامون درمیون گذاشتید. با این کار به ما این فرصت رو می‌دید که مدل کارکرد کسب‌وکارهایی مثل طاقچه رو که توزیع‌کننده هستن، براتون شفاف‌تر کنیم تا ذهنیت‌ها به واقعیت نزدیک‌تر بشه. ازتون ممنونیم.
طبق قوانین کشور، هر ناشر حق داره کتاب‌های مجوزدار خودش رو در پلتفرم‌های دیجیتال توزیع کنه. قرارداد طاقچه با ناشران هم به اون‌ها این حق رو می‌ده که خودشون دربارۀ انتشار یا عدم‌انتشار محتواشون در طاقچه تصمیم بگیرن. بنابراین وقتی طاقچه با ناشری قرارداد می‌بنده و اون ناشر تصمیم می‌گیره کتابی رو در طاقچه عرضه کنه که مجوزهای لازم رو از وزارت فرهنگ و ارشاد اسلامی گرفته، طاقچه طبق قانون باید اون کتاب رو نشر بده. هر نوع تصمیم‌گیری یک‌جانبه از سمت طاقچه، خلاف قانونه و با قواعد بازار نشر منافات داره.
باز هم ممنونیم که باب گفتگو رو باز نگه داشتید."
ارتباط با کاربران,"در پاسخ به پیام های مربوط به مسائل حجاب(بنرها،تصاویر گرافیکی،جلد کتاب)","دوست کتاب‌خوان، سلام.

ممنونیم که دغدغهٔ خودتون رو با ما در میون گذاشتید. مطلبتون رو به همکارانمون منتقل می‌کنیم. سلامت باشید."
ارتباط با کاربران,در پاسخ به پیام هایی که ممکنه پاسخ دادن بهشون زمان‌بر بشه,"دوست عزیز کتاب‌خوان، سلام.

ممنونیم که با ما در ارتباطید. پیامتون رو دریافت کردیم و بعد از بررسی‌های لازم پاسخ می‌دیم. این فرایند ممکنه کمی طول بکشه. از این بابت متأسفیم و ممنونیم که با شکیبایی‌تون ما رو همراهی می‌کنید."
ارتباط با کاربران,"در پاسخ به کاربرانی که مسئله شون در تماس حل شده/اطلاع‌دادن مشکل حل شده""","حل شده:
دوست عزیز، سلام دوباره.ممنون که نتیجه رو بهمون اطلاع دادید. امیدواریم از مطالعهٔ کتاب‌ها در طاقچه لذت ببرید.
ممنونیم که با ما در تماسید و خوشحالیم که تونستیم مشکل رو حل کنیم.
ارجاع داده شده:
دوست عزیز، سلام دوباره.
ممنونیم که با ما در تماسید. در حال پیگیری مشکلتون هستیم و به‌زودی نتیجه رو بهتون اطلاع می‌دیم.
اطلاع میده حل شده:
دوست عزیز، سلام.
ممنون که نتیجه رو بهمون اطلاع دادید. امیدواریم از مطالعهٔ کتاب‌ها در طاقچه لذت ببرید."
ارتباط با کاربران,اشتباه گرفتن طاقچه با نرم افزارهای دیگه,"دوست عزیز، سلام.

شما با پشتیبانی اپلیکیشن طاقچه ارتباط گرفتید اما این مسئله‌ای که می‌فرمایید مربوط به اپلیکیشن دیگه‌ای می‌شه. لطفاً مسئله رو از طریق پشتیبانی اپلیکیشن مربوطه پیگیری کنید."
ارتباط با کاربران,در پاسخ به اعتراض کاربران برای ارسال مدارک جهت بازگشت وجه,"دوست عزیز، سلام.

خوشحالیم که طاقچه رو برای سفارش کتابتون انتخاب کردید. هرکدوم از تراکنش‌های مالی سند خاصی داره تا تمام نقل‌وانتقالات شفاف باشن و بشه حسابرسی‌شون کرد.
در زمان خرید، معینه که شما بابت کدوم کالا با چه ارزشی پول رو می‌پردازید و همچنین بعد از پرداخت، کالا رو دریافت می‌کنید. اما زمانی که ما مبلغی رو به شما برمی‌گردونیم، کالایی ردوبدل نمی‌شه. بنابراین، ما باید مدارک و کد ملی شما رو داشته باشیم تا بتونیم بر اساس اون، یک سند مالی تنظیم کنیم. درواقع در فرایند مالی بازگشت وجه، باید مشخص باشه که ما پول رو دقیقاً به چه کسی برمی‌گردونیم و چرا. این روند برای شفافیت مالی و جلوگیری از سوءاستفاده‌های اقتصادی طراحی شده. می‌دونیم که این فرایند برای شما اسباب زحمته. از این بابت متأسفیم و ممنونیم که همراهی‌مون می‌کنید تا با کسب‌وکاری شفاف به شما خدمت برسونیم."
ارتباط با کاربران,مواردی که میخوایم از کاربر زمان بگیریم برای تماس,"دوست عزیز، سلام.

لطفاً بفرمایید چه روزها و ساعت‌هایی براتون مناسبه که همکاران فنی‌مون باهاتون تماس تلفنی بگیرن."
ارتباط با کاربران,در پاسخ به ایمیلی که نیاز به ارسال اطلاعات هستش,"دوست عزیز، سلام.

لطفاً شماره‌موبایل یا آدرس ایمیلی رو که با اون در طاقچه حساب کاربری دارید، برامون بفرستید تا بتونیم مسئله رو بررسی کنیم.

***
دوست عزیز، سلام.

برای اینکه بتونیم این مورد رو دقیق‌تر بررسی کنیم، لطفاً تصویر مشکلتون رو برامون بفرستید."
ارتباط با کاربران,در پاسخ به کاربرانی که میخوان بهشون کتاب معرفی کنیم,"دوست عزیز، سلام.
خوشحالیم که برای مطالعهٔ کتاب طاقچه رو انتخاب کردید. من به‌‌عنوان پشتیبان امکان راهنمایی‌تون رو ندارم، ولی راه‌های زیر می‌تونه کمکتون کنه: توی طاقچه برای اینکه بتونیم بهتون کمک کنیم کتاب‌هایی رو که مناسبتون هستن، راحت پیدا کنید، راه‌های مختلفی رو فراهم کردیم: ۱) راحت‌ترین راه، دیدن بخش «پیشنهادهایی فقط برای تو» در صفحهٔ اصلی طاقچه‌ست. در این بخش، ما با کمک یک هوش مصنوعی، بر اساس کتاب‌هایی که قبل‌تر خریدید یا خوندید، بهتون کتاب پیشنهاد می‌دیم. ۲) راه بعدی، دیدن دسته‌بندی‌های موضوعی کتاب‌هاست. در صفحهٔ «فروشگاه» طاقچه، بالا سمت راست، دکمهٔ «دسته‌بندی» رو می‌بینید.
۳) به‌جز این‌ها راه دیگه‌ای هم داریم: در وبلاگ طاقچه، ما مطالب متعدد و متنوعی داریم که در هرکدوم، کتاب‌هایی رو با موضوعات مختلف معرفی کردیم (مثلاً معرفی بهترین رمان‌های تاریخی، معرفی داستان‌های عاشقانه، ...).
می‌تونید از این لینک وبلاگ طاقچه رو بخونید: https://taaghche.com/blog کافیه در قسمت جست‌وجوی وبلاگ، کلمهٔ «معرفی» رو جست‌وجو کنید. امیدواریم بتونید از این مسیرها به کتاب دلخواهتون برسید و از مطالعه‌ش لذت ببرید."
ارتباط با کاربران,نمیخوام ایمیلی از طاقچه دریافت کنم,"دوست عزیز، سلام.

در انتهای ایمیلی که از سمت طاقچه براتون اومده، عبارت زیر نوشته شده که می‌تونید روی لینک انتهای اون بزنید تا دیگه از طاقچه ایمیلی نگیرید:
 «این ایمیل را برای بسیاری از دوستانمان در طاقچه فرستاده ایم؛ اما اگر دوست نداری ایمیل‌های مشابهی از طرف طاقچه دریافت کنی، کافی است که روی این لینک کلیک کنی.»"
ارتباط با کاربران,زمانی که پاسخ غیر مرتبط به سوال کاربر براش ارسال میشه,"دوست عزیز، سلام.

از پاسخ نامرتبطی که براتون فرستاده شد، متأسفیم. این مسئله ناشی از خطای همکار ما بود. تلاش می‌کنیم در آینده کم‌خطاتر باشیم و امیدواریم عذرخواهی ما رو بپذیرید."
ارتباط با کاربران,غیر فعال کردن اعلانات طاقچه در موبایل,"اندروید:

دوست عزیز، سلام.

وارد قسمت تنظیمات موبایلتون بشید، به بخش اعلانات برید و در لیستی که بهتون نمایش داده می‌شه، برنامهٔ طاقچه رو انتخاب کنید و در بالای صفحه، اعلانات برنامه رو خاموش کنید.

آی‌او‌اس:

 دوست عزیز، سلام.

وارد قسمت تنظیمات گوشی‌تون بشید، به بخش اعلانات برید و در لیستی که بهتون نمایش داده می‌شه، برنامهٔ طاقچه رو انتخاب کنید. بعد، در بالای صفحه «allow notification» رو خاموش کنید."
ارتباط با کاربران,مواردی که نیاز هست اپراتور اینترنت رو چک کنیم,"دوست عزیز، سلام.

برای اینکه بتونیم دقیق‌تر موضوع رو بررسی کنیم ممکنه بهمون بگید از چه اینترنتی استفاده می‌کنید؟

مرحله دوم:

دوست عزیز، سلام.

از اونجایی که بعضی اوقات اپراتور اینترنتی که استفاده می‌کنید می‌تونه موجب بروز این اختلال بشه، این امکان رو دارید که از اینترنت دیگه‌ای استفاده کنید و در صورت برطرف نشدن مشکل بهمون اطلاع بدید تا موضوع رو به همکارانمون منتقل کنیم؟"
ارتباط با کاربران,جملات پر کاربرد,"دوست عزیز، سلام.
برای بررسی دقیق‌تر موضوع اجازه داریم وارد حساب کاربری‌تون بشیم؟
---
دوست عزیز، سلام.
برای بررسی دقیق‌تر لطفاً انتشارات مورد نظرتون رو برامون ارسال کنید.
---
دوست عزیز، سلام.
درحال‌حاضر به صورت کلی مشکلی زمان استفاده از برنامه وجود نداره. ممکنه بهمون بگید زمان استفاده از برنامه چه خطایی دریافت می‌کنید؟
---
دوست عزیز، سلام.
در حال بررسی حساب کاربری‌تون هستیم و نتیجه رو در اسرع وقت بهتون اطلاع می‌دیم. ممنون که صبورانه مارو همراهی می‌کنید.
---
دوست عزیز، سلام.
شما با پشتیبانی کاربران طاقچه در ارتباط هستید، چطور می‌تونیم کمکتون کنیم؟
---
دوست عزیز، سلام.
 زمان استفاده از برنامه به فیلترشکن متصل هستید؟
---
دوست عزیز، سلام. 
هنگام نصب و ورود به برنامهٔ طاقچه در نسخهٔ ویندوز، لازمه فیلترشکن، آنتی‌ویروس و فایروال سیستم غیرفعال باشه. آیا از غیرفعال بودن این سه مورد اطمینان دارید؟
---
دوست عزیز، سلام.
بررسی و تعیین وضعیت بریده‌ها و نظرات حداکثر ۴۸ ساعت کاری زمان می‌بره. از اینکه صبورانه مارو همراهی می‌کنید ممنونیم.
---
دوست عزیز، سلام.
لطفاً از حساب کاربری خود خارج شده و پس از گذشت ۳۰ دقیقه از طریق مرورگر کروم وارد حساب کاربریتون بشید و برای مطالعهٔ کتاب اقدام کنید. "
ارتباط با کاربران,زمانی که می‌خوایم مبلغ رو به کاربر برگردونیم,"دوست عزیز، سلام.

از اونجایی که حل این مشکل زمان‌بر شده، ، ما می‌تونیم هزینهٔ کتاب رو به شکل اعتبار بهتون برگردونیم تا برای خرید کتاب دیگه‌ای ازش استفاده کنید. با استفاده از کد تخفیفی که در پیام بعد براتون ارسال میشه می‌تونید  کیف پول طاقچه‌تون رو شارژ کنید. توی اپلیکیشن طاقچه به قسمت «حساب‌کاربری» برید و «افزایش اعتبار» رو بزنید. در صفحه‌ای که بهتون نمایش داده می‌شه، گزینهٔ «کد هدیه دارم» رو انتخاب کنید و کدی که براتون ارسال شده رو توی کادری که نمایش داده می‌شه وارد کنید و در آخر حتماً کلید «ثبت» رو فشار بدید تا مبلغ به اعتبارتون اضافه بشه.
"
